subject,trial,meter,n_pulses,bpm,tau_mean,tau_lo,tau_hi,tau_ci_width,tau_mean_s,max_rhat,converged
sub04,18,2,60,120.0,14.253571002536166,11.606091453483668,17.079522379074174,5.473430925590506,7.126785501268083,1.0023001602203332,True
sub04,20,2,52,104.0,24.22077767483446,18.51976069772511,29.394777389913,10.875016692187888,13.973525581635265,1.004322618147969,True
sub05,5,3,60,120.0,28.983869253465148,28.16710733995301,29.828844177198878,1.6617368372458685,14.491934626732574,1.0025512083788544,True
sub05,7,3,52,104.0,22.06724184769993,19.95313670256119,23.886744467236735,3.9336077646755463,12.731101065980729,1.0019063460279642,True
sub05,8,2,57,116.0,19.95465658319553,18.438301017731444,21.24144089572,2.8031398779885563,10.321374094756308,1.003282844225136,True
sub05,9,3,56,112.0,23.211044445045168,21.456729968833734,24.93361721729685,3.4768872484631146,12.434488095559912,1.0023841699431595,True
sub05,11,2,52,104.0,20.94590821999447,12.343476185428425,24.497788288272492,12.154312102844067,12.08417781922758,1.0046672154067509,True
sub05,12,2,57,116.0,24.675709115551204,22.567545718053637,27.440049465845366,4.872503747791729,12.763297818388553,1.002190776965653,True
sub05,13,3,56,112.0,25.366700711267097,23.097660381965063,28.017637955720986,4.919977573755922,13.589303952464517,1.0009513879789902,True
sub05,15,2,54,108.0,16.878224592560528,10.011507229909789,22.066334948516605,12.054827718606816,9.376791440311406,1.0081276888359112,True
sub05,16,2,56,112.0,13.716114522808784,12.136678170194507,15.782046817891121,3.645368647696614,7.347918494361848,1.002705217346321,True
sub05,20,3,54,108.0,20.220960376931536,17.75814902492612,22.324183218040712,4.566034193114593,11.233866876073076,1.001698790738675,True
sub06,2,2,56,112.0,12.879547576386289,9.13856914967879,21.054270058529383,11.915700908850592,6.89975763020694,1.0034595552975805,True
sub06,3,3,50,100.0,15.394993823657595,13.298081103111612,17.7230232273236,4.42494212421199,9.236996294194558,1.0024551071440522,True
sub06,5,3,60,120.0,17.535140065641993,15.601220210456525,19.009648457239745,3.4084282467832203,8.767570032820997,1.0018517380796181,True
sub06,6,3,57,116.0,59.845596711355014,51.627903806122674,72.35552852101362,20.72762471489095,30.954618988631903,1.0029414124128844,True
sub06,8,2,57,116.0,20.657963688179446,17.92686764766003,26.81572589206581,8.888858244405782,10.685153631816956,1.0026144185445367,True
sub06,10,3,57,116.0,21.888880369223045,18.5445123269447,24.045429122705634,5.500916795760933,11.321834673736058,1.0110048942815346,True
sub06,11,2,52,104.0,15.775620191352226,14.143041359799884,17.742058796830285,3.599017437030401,9.101319341164746,1.0015061803783123,True
sub06,14,2,52,104.0,15.78040008420625,14.222544107275954,17.865207059128668,3.6426629518527136,9.104076971657452,1.0030080218676465,True
sub06,15,3,57,116.0,29.782905956919283,27.22239011912281,33.042240096120054,5.819849976997244,15.404951357027214,1.0031780511879815,True
sub06,18,2,50,100.0,16.358666083596365,14.331182525424659,18.094928945963993,3.7637464205393343,9.815199650157819,1.00144853020859,True
sub07,1,2,52,104.0,29.033063797690186,2.6914764553881954,56.179576825668576,53.48810037028038,16.749844498667414,1.0097268409974225,True
sub07,2,2,56,112.0,41.14185749773213,14.711995741614018,48.692015236036816,33.9800194944228,22.0402808023565,1.040015267864411,True
sub07,7,2,60,120.0,34.69431702443931,6.678168282876598,57.32113011041383,50.642961827537235,17.347158512219654,1.020523375500668,True
sub07,8,3,54,108.0,26.449610533765373,-2.086509757116983,55.730053405503675,57.81656316262066,14.694228074314095,1.010052867024711,True
sub07,9,3,54,108.0,18.24102526010415,8.901684472369107,34.63146455062773,25.729780078258628,10.133902922280082,1.0076696539271872,True
sub07,10,3,52,104.0,17.04428192586133,9.182471344140508,43.700763652368856,34.51829230822835,9.833239572612307,1.0114542634036587,True
sub07,14,2,52,104.0,34.36721269634448,23.035421681281203,42.40340545632773,19.36798377504653,19.827238094044894,1.0136307658990094,True
sub07,15,3,52,104.0,29.439214346825043,9.229065694677224,44.39656410058294,35.16749840590572,16.984162123168293,1.0061926141056623,True
sub07,19,2,54,108.0,21.899861507538706,21.544930636165727,22.18118484618365,0.636254210017924,12.166589726410391,1.0036557075545716,True
sub07,20,3,57,116.0,30.224110616569057,28.013919560233123,32.03487708822288,4.020957527989754,15.633160663742615,1.00266346976906,True
sub08,3,2,52,104.0,17.31905032847216,10.58849871305563,27.04683389673293,16.4583351836773,9.991759804887785,1.0020362210810247,True
sub08,6,2,55,112.0,22.458214043192733,21.166319731341325,24.679179632349257,3.512859901007932,12.031186094567534,1.0026073487512073,True
sub08,7,3,54,108.0,22.9859179628587,20.451798251317634,24.89221613274097,4.440417881423336,12.769954423810388,1.0021098798944745,True
sub08,9,2,50,100.0,25.3198148162608,23.44747590906552,27.05821837200793,3.610742462942408,15.191888889756479,1.0016870943497174,True
sub08,11,3,57,116.0,33.6494299252604,21.8961766417467,38.62400473439109,16.727828092644394,17.404877547548484,1.0038163255714323,True
sub08,13,3,54,108.0,41.44282356746304,38.24663946516059,45.98857958619662,7.741940121036031,23.0237908708128,1.0066401879920326,True
sub08,14,3,60,120.0,22.804150595841193,9.795380424572794,45.198180714532484,35.402800289959686,11.402075297920597,1.0109589335383136,True
sub08,16,2,45,100.0,25.54944668710574,4.468234686723025,43.73195634528883,39.26372165856581,15.329668012263443,1.000875077665373,True
sub08,17,2,50,100.0,20.244606254811345,15.795900685193942,28.755772568687824,12.959871883493882,12.146763752886807,1.0045400347608853,True
sub08,20,3,48,100.0,33.98737958559224,26.35088591919408,52.064185611377304,25.713299692183224,20.392427751355342,1.0017013804147292,True
