subject,phase,trial,click_idx,click_time_s,matched_tap_time_s,matched_tap_idx,asynchrony_s,rms_db,asynchrony_ms,missed_beat,accented,condition,meter,bpm,switch_time,low_confidence_trial
sub04,test,13,48,29.021520833333334,28.95575,48.0,-0.06577083333333533,50.9531441421357,-65.77083333333533,False,1.0,cued,2,100.0,18,True
sub04,test,13,49,29.621520833333335,29.603375,49.0,-0.018145833333335304,39.82010810763883,-18.145833333335304,False,0.0,cued,2,100.0,18,True
sub04,test,14,0,0.22266666666666668,0.3465416666666667,0.0,0.12387500000000001,52.06803184751267,123.87500000000001,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,1,0.7387708333333334,0.7390416666666667,1.0,0.00027083333333333126,37.42933306279285,0.27083333333333126,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,2,1.2560208333333334,1.1962916666666668,2.0,-0.05972916666666661,43.7106985150018,-59.729166666666615,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,3,1.7732708333333334,1.7069166666666666,3.0,-0.06635416666666671,54.53167323824076,-66.35416666666671,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,4,2.2905208333333333,2.2476875,4.0,-0.04283333333333328,35.92113811605206,-42.83333333333328,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,5,2.8077708333333335,2.722875,5.0,-0.08489583333333339,37.78496286920814,-84.8958333333334,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,6,3.3261666666666665,3.2356041666666666,6.0,-0.09056249999999988,53.781953558459286,-90.56249999999989,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,7,3.8422708333333335,3.7784791666666666,7.0,-0.06379166666666691,30.679682475583753,-63.79166666666691,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,8,4.359520833333334,4.319145833333334,8.0,-0.04037500000000005,41.904036465558285,-40.37500000000005,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,9,4.8767708333333335,4.815,9.0,-0.06177083333333311,54.93136561280021,-61.77083333333311,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,10,5.394020833333333,5.330708333333333,10.0,-0.06331250000000033,39.17926405757942,-63.31250000000033,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,11,5.911270833333333,5.8141875,11.0,-0.09708333333333297,41.16441397675799,-97.08333333333297,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,12,6.428520833333334,6.3298125,12.0,-0.09870833333333362,52.373824622030405,-98.70833333333363,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,13,6.9457708333333334,6.834270833333333,13.0,-0.11150000000000038,34.71401737951873,-111.50000000000037,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,14,7.463020833333333,7.428395833333333,14.0,-0.03462500000000013,44.06340361376355,-34.62500000000013,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,15,7.980270833333333,7.943479166666667,15.0,-0.03679166666666589,54.26160381230715,-36.79166666666589,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,16,8.497520833333333,8.499833333333333,16.0,0.0023125000000003837,38.472029642516866,2.3125000000003837,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,17,9.014770833333333,8.9795,17.0,-0.035270833333333584,52.94579463542977,-35.270833333333584,False,1.0,spontaneous,3,116.0,0,True
